ingredient,cal,protein,fat,carb,fiber,category,,,,,,,,,,,,,
"Ikan paling, segar",303,14.0,27.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan papuyu/ betok,
segar",120,14.3,4.9,4.6,0.0,non-vegan,,,,,,,,,,,,,
"Ikan patin, segar",132,17.0,6.6,1.1,0.0,non-vegan,,,,,,,,,,,,,
"Ikan pomo, segar",147,22.5,5.2,2.6,,non-vegan,,,,,,,,,,,,,
"Ikan puntin, segar",76,14.4,1.1,2.2,,non-vegan,,,,,,,,,,,,,
"Ikan saluang, segar",113,13.9,4.9,3.4,0.0,non-vegan,,,,,,,,,,,,,
"Ikan sarden, segar",109,19.9,1.8,3.4,0.0,non-vegan,,,,,,,,,,,,,
"Ikan selar, segar",100,18.8,2.2,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan sepat, segar",84,15.2,0.6,4.7,0.0,non-vegan,,,,,,,,,,,,,
"Ikan sidat, segar",81,11.4,1.9,3.8,0.0,non-vegan,,,,,,,,,,,,,
"Ikan sunu, segar",111,13.3,3.4,6.7,,non-vegan,,,,,,,,,,,,,
"Ikan tahuman, segar",88,15.9,0.9,4.1,0.0,non-vegan,,,,,,,,,,,,,
"Ikan tarmon, segar",96,19.5,1.1,2.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan telan, segar",95,15.8,0.7,6.5,0.0,non-vegan,,,,,,,,,,,,,
"Ikan tembang, segar",204,16.0,15.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan tempahas, segar",101,15.1,4.1,1.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan terbang, segar",98,19.6,1.7,1.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan teri, segar",74,10.3,1.4,4.1,0.0,non-vegan,,,,,,,,,,,,,
"Ikan titang, segar",82,17.4,0.4,2.3,0.0,non-vegan,,,,,,,,,,,,,
"Ikan tongkol, segar",100,13.7,1.5,8.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan turi, segar",96,19.2,2.0,0.2,,non-vegan,,,,,,,,,,,,,
"Keong, segar",64,12.0,1.0,2.0,0.0,non-vegan,,,,,,,,,,,,,
"Kepiting, segar",151,13.8,3.8,14.1,0.0,non-vegan,,,,,,,,,,,,,
"Kerang, segar",101,14.4,2.6,3.9,0.0,non-vegan,,,,,,,,,,,,,
"Kodok, segar",73,16.4,0.3,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Kura-kura, segar",83,19.1,0.2,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Kuro, segar",87,16.0,2.2,1.0,0.0,non-vegan,,,,,,,,,,,,,
"Lokan, segar",217,11.0,1.7,5.1,,non-vegan,,,,,,,,,,,,,
"Rajungan, segar",76,12.1,2.0,2.4,0.0,non-vegan,,,,,,,,,,,,,
"Rebon, udang kecil,
segar",81,16.2,1.2,0.7,0.0,non-vegan,,,,,,,,,,,,,
Rusip,110,11.5,2.0,11.7,0.0,non-vegan,,,,,,,,,,,,,
"Udang galah, segar",81,16.5,0.3,3.0,0.0,non-vegan,,,,,,,,,,,,,
"Udang, besar, segar",56,11.4,0.6,1.2,0.0,non-vegan,,,,,,,,,,,,,
"Udang, segar",91,21.0,0.2,0.1,0.0,non-vegan,,,,,,,,,,,,,
"Bekicot, dendeng,
mentah",441,48.7,20.3,15.8,0.0,non-vegan,,,,,,,,,,,,,
"Belut, goreng",417,25.9,19.4,32.0,0.0,non-vegan,,,,,,,,,,,,,
"Cumi-cumi, goreng",265,40.6,10.1,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan asin, kering",193,42.0,1.5,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan bandeng presto,
masakan",296,17.1,20.3,11.3,0.0,non-vegan,,,,,,,,,,,,,
Ikan baung bakar,144,17.8,5.8,5.2,,non-vegan,,,,,,,,,,,,,
Ikan Belida bakar,128,18.0,3.0,7.2,0.0,non-vegan,,,,,,,,,,,,,
"Ikan cakalang asap, mentah",204,34.2,5.6,1.9,,non-vegan,,,,,,,,,,,,,
"Ikan cakalang asin, mentah",198,36.5,2.2,5.5,0.0,non-vegan,,,,,,,,,,,,,
"Ikan calo/ peda, mentah",81,11.4,1.9,3.8,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Gabus asap, mentah",261,38.1,2.3,21.9,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Gabus, kering",268,58.0,4.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan gete, goreng",267,23.1,19.4,0.2,,non-vegan,,,,,,,,,,,,,
"Ikan hiu, kering",298,46.3,3.6,20.2,,non-vegan,,,,,,,,,,,,,
"Ikan katombo, asin",162,31.7,2.8,0.3,0.0,non-vegan,,,,,,,,,,,,,
"Ikan kayu, kering",302,70.7,1.9,0.4,0.0,non-vegan,,,,,,,,,,,,,
Ikan Lais bakar,147,17.5,6.5,5.4,,non-vegan,,,,,,,,,,,,,
"Ikan lomak asin,
mentah",258,40.3,2.3,18.9,0.0,non-vegan,,,,,,,,,,,,,
Ikan Mas pepes,209,15.2,11.3,11.8,0.5,non-vegan,,,,,,,,,,,,,
Ikan mujahir goreng,416,46.9,23.9,0.0,0.0,non-vegan,,,,,,,,,,,,,
Ikan Mujahir pepes,121,21.7,2.8,0.8,0.0,non-vegan,,,,,,,,,,,,,
"Ikan mujahir,
dendeng, mentah",582,68.3,15.2,37.2,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Papuyu, bakar",152,17.6,6.1,6.7,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Patin, bakar",144,17.5,6.3,4.3,,non-vegan,,,,,,,,,,,,,
"Ikan peda banjar,
mentah",156,28.0,4.0,2.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan pepetek, mentah",176,32.0,4.4,2.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Pindang banjar,
mentah",157,28.0,4.2,1.8,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Pindang benggol,
mentah",170,31.0,4.2,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Pindang layang,
mentah",153,30.0,2.8,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Pindang selar,
mentah",142,27.0,3.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan sale, mentah",534,40.2,39.3,4.9,2.0,non-vegan,,,,,,,,,,,,,
"Ikan sale lais, mentah",415,61.3,17.6,2.9,0.0,non-vegan,,,,,,,,,,,,,
"Ikan saluang, kering,
mentah",284,34.1,9.9,14.6,0.0,non-vegan,,,,,,,,,,,,,
"Ikan sanggang, masakan",240,21.7,7.7,20.7,,non-vegan,,,,,,,,,,,,,
"Ikan selar kuning, cue,
mentah",138,27.0,3.3,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan selar, kering,
mentah",194,38.0,3.5,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan sepat, kering,
mentah",289,38.0,14.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan sunu, asin,
mentah",199,34.1,3.8,7.1,,non-vegan,,,,,,,,,,,,,
"Ikan, tepung, mentah",316,60.1,6.5,22.4,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Teri nasi, kering,
mentah",144,32.5,0.6,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Teri, bubuk, mentah",277,60.0,2.3,1.8,0.0,non-vegan,,,,,,,,,,,,,
"Ikan teri, kering, mentah",170,33.4,3.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Teri, kering, tawar, mentah",331,68.7,4.2,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan Teri, tepung, mentah",347,48.8,6.4,19.6,0.0,non-vegan,,,,,,,,,,,,,
"Kerang, asap, mentah",393,38.9,13.3,29.4,,non-vegan,,,,,,,,,,,,,
"Kerang, dendeng,
mentah",357,41.1,10.0,25.6,0.0,non-vegan,,,,,,,,,,,,,
"Rebon, kering, mentah",299,59.4,3.6,3.2,0.0,non-vegan,,,,,,,,,,,,,
"Rebung laut, mentah",320,7.2,4.2,63.3,,non-vegan,,,,,,,,,,,,,
Sardines dalam kaleng,338,21.1,27.0,1.0,0.0,non-vegan,,,,,,,,,,,,,
"Teripang, dendeng,
mentah",462,39.1,32.4,3.5,0.0,non-vegan,,,,,,,,,,,,,
"Udang kering, mentah",278,62.6,4.1,2.2,,non-vegan,,,,,,,,,,,,,
"Udang papay, mentah",273,47.8,3.8,12.5,,non-vegan,,,,,,,,,,,,,
Abon haruwan,513,23.7,37.0,21.3,,non-vegan,,,,,,,,,,,,,
Abon ikan,435,27.2,20.2,36.1,,non-vegan,,,,,,,,,,,,,
"Betok wadi, masakan",145,16.3,7.0,4.1,,non-vegan,,,,,,,,,,,,,
"Bou ninahu ndamate,
masakan",79,6.3,1.0,1.1,,non-vegan,,,,,,,,,,,,,
"Bouiki ninahu
nggaluku, masakan",94,7.8,2.2,10.8,,non-vegan,,,,,,,,,,,,,
Cakalang asar (asap),155,20.1,3.8,10.2,,non-vegan,,,,,,,,,,,,,
"Dendeng belut,
goreng, masakan",382,55.7,14.1,8.0,0.0,non-vegan,,,,,,,,,,,,,
"Dendeng mujahir,
goreng, masakan",598,74.3,26.9,9.2,0.0,non-vegan,,,,,,,,,,,,,
Fillet o-fish,270,12.3,15.9,19.3,0.2,non-vegan,,,,,,,,,,,,,
"Gete kuah asam,
masakan",75,8.2,2.0,6.0,,non-vegan,,,,,,,,,,,,,
"Gulai asam keueung,
masakan",52,10.0,0.5,1.8,,non-vegan,,,,,,,,,,,,,
"Gulai ikan, masakan",106,16.5,3.3,2.5,,non-vegan,,,,,,,,,,,,,
"Gulai ikan paya,
masakan",148,10.0,9.8,5.0,,non-vegan,,,,,,,,,,,,,
"Gulai keumamah,
masakan",110,5.9,8.2,3.2,,non-vegan,,,,,,,,,,,,,
"Gulai tiram, masakan",132,9.0,7.2,7.8,,non-vegan,,,,,,,,,,,,,
"Gurame asem manis, masakan",192,12.7,10.1,12.7,0.0,non-vegan,,,,,,,,,,,,,
"Ikan asar merah, masakan",146,17.7,5.9,5.6,,non-vegan,,,,,,,,,,,,,
"Jambal goreng, masakan",286,48.5,9.2,2.3,,non-vegan,,,,,,,,,,,,,
"Jukku pallu kaloa,
masakan",15,15.2,4.3,8.8,,non-vegan,,,,,,,,,,,,,
"Kaholeo, masakan",413,28.7,19.8,29.8,,non-vegan,,,,,,,,,,,,,
Lawara penjah,207,7.4,15.4,9.6,,non-vegan,,,,,,,,,,,,,
"Model, masakan",79,2.2,4.0,8.6,,non-vegan,,,,,,,,,,,,,
"Mujahir acar kuning,
masakan",330,17.8,23.4,12.1,1.1,non-vegan,,,,,,,,,,,,,
"Parede baleh,
masakan",87,10.5,2.5,5.5,,non-vegan,,,,,,,,,,,,,
"Pempek adaan,
masakan",162,4.9,3.0,27.8,,non-vegan,,,,,,,,,,,,,
"Pempek belida,
masakan",156,4.2,1.4,31.6,0.2,non-vegan,,,,,,,,,,,,,
"Pempek kapal selam,
masakan",152,4.5,2.3,28.2,,non-vegan,,,,,,,,,,,,,
"Pempek kelesan,
masakan",211,12.3,6.1,26.6,0.4,non-vegan,,,,,,,,,,,,,
"Pempek kulit,
masakan",243,5.2,7.3,39.1,,non-vegan,,,,,,,,,,,,,
"Pempek telur,
masakan",156,4.7,2.7,28.3,,non-vegan,,,,,,,,,,,,,
"Pempek tenggiri,
masakan",173,7.2,1.2,33.4,0.2,non-vegan,,,,,,,,,,,,,
"Pencok lele, masakan",372,7.8,36.3,3.5,0.0,non-vegan,,,,,,,,,,,,,
Pinda,107,15.9,0.6,0.4,,non-vegan,,,,,,,,,,,,,
"Pindang kenari,
masakan",124,9.5,9.6,0.0,,non-vegan,,,,,,,,,,,,,
"Saboko gurita,
masakan",87,15.7,1.5,2.6,,non-vegan,,,,,,,,,,,,,
"Saboko saltan,
masakan",113,17.1,3.6,3.0,,non-vegan,,,,,,,,,,,,,
"Saboko sardin,
masakan",110,12.9,4.3,4.9,,non-vegan,,,,,,,,,,,,,
Sate Bandeng,283,12.1,16.8,20.9,2.0,non-vegan,,,,,,,,,,,,,
"Sepi, masakan",88,7.9,1.6,10.6,,non-vegan,,,,,,,,,,,,,
"Tekwan, masakan",53,1.9,0.9,9.4,,non-vegan,,,,,,,,,,,,,
"Teri belado, masakan",365,23.7,22.3,17.5,0.0,non-vegan,,,,,,,,,,,,,
"Tumis bandeng,
masakan",189,11.3,15.7,0.6,,non-vegan,,,,,,,,,,,,,
Tumis keumamah,300,14.5,20.0,15.5,4.5,non-vegan,,,,,,,,,,,,,
"Telur ayam kampung,
segar",174,10.8,14.0,1.2,0.0,non-vegan,,,,,,,,,,,,,
"Telur ayam ras, segar",154,12.4,10.8,0.7,0.0,non-vegan,,,,,,,,,,,,,
"Telur ayam ras, bagian kuning, segar",355,16.3,31.9,0.7,0.0,non-vegan,,,,,,,,,,,,,
"Telur aAyam ras, bagian putih, segar",50,10.8,0.0,0.8,0.0,non-vegan,,,,,,,,,,,,,
"Telur bebek alabio,
segar",187,11.8,14.2,3.0,0.0,non-vegan,,,,,,,,,,,,,
"Telur bebek, bagian kuning, segar",386,17.0,35.0,0.8,0.0,non-vegan,,,,,,,,,,,,,
"Telur bebek, bagian putih, segar",54,11.0,0.0,0.8,0.0,non-vegan,,,,,,,,,,,,,
"Telur bebek tambak,
segar",187,10.9,12.4,7.9,0.0,non-vegan,,,,,,,,,,,,,
"Telur burung maleo,
segar",436,26.5,36.3,0.4,,non-vegan,,,,,,,,,,,,,
"Telur penyu, segar",136,8.6,10.1,2.7,0.0,non-vegan,,,,,,,,,,,,,
"Telur burung puyuh, segar",116,10.7,7.0,1.6,0.0,non-vegan,,,,,,,,,,,,,
"Telur ayam, dadar,
masakan",251,16.3,19.4,1.4,0.0,non-vegan,,,,,,,,,,,,,
"Telur bebek, asin,
mentah",179,13.6,13.3,4.4,0.0,non-vegan,,,,,,,,,,,,,
"Telur bebek, dadar,
masakan",301,20.0,23.7,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Ikan, telur, asin,
mentah",358,20.7,26.4,9.4,0.0,non-vegan,,,,,,,,,,,,,
"Bayau mi balu,
masakan",313,6.0,12.2,44.8,,non-vegan,,,,,,,,,,,,,
"Cucuru bayau,
masakan",349,6.8,18.7,38.3,,non-vegan,,,,,,,,,,,,,
"Kalio telur, masakan",193,10.6,12.4,9.7,,non-vegan,,,,,,,,,,,,,
"Kepala susu - krim,
segar",204,2.6,20.0,4.0,0.0,non-vegan,,,,,,,,,,,,,
Susu ibu - ASI,62,1.5,3.2,7.0,0.0,non-vegan,,,,,,,,,,,,,
"Susu kambing, segar",64,4.3,2.3,6.6,0.0,non-vegan,,,,,,,,,,,,,
"Susu kerbau, segar",160,6.3,12.0,7.1,,non-vegan,,,,,,,,,,,,,
"Susu kuda, segar",40,2.0,1.1,5.4,0.0,non-vegan,,,,,,,,,,,,,
"Susu sapi, segar",61,3.2,3.5,4.3,0.0,non-vegan,,,,,,,,,,,,,
Es krim,210,4.0,12.5,20.6,0.0,non-vegan,,,,,,,,,,,,,
Hangop,65,10.0,1.0,3.5,0.0,non-vegan,,,,,,,,,,,,,
Keju,326,22.8,20.3,13.1,0.0,non-vegan,,,,,,,,,,,,,
Kwark (Quark),242,19.0,17.0,3.0,0.0,non-vegan,,,,,,,,,,,,,
"Susu asam untuk bayi,
bubuk",418,19.0,9.0,65.5,0.0,non-vegan,,,,,,,,,,,,,
Susu bubuk,513,24.6,30.0,36.2,0.0,non-vegan,,,,,,,,,,,,,
Susu kental manis,343,8.2,10.0,55.0,0.0,non-vegan,,,,,,,,,,,,,
Susu kental tak manis,138,7.0,7.9,9.9,,non-vegan,,,,,,,,,,,,,
"Susu skim, bubuk",359,35.6,1.0,52.0,0.0,non-vegan,,,,,,,,,,,,,
"Susu skim, segar",36,3.5,0.1,5.1,,non-vegan,,,,,,,,,,,,,
"Yoghurt, segar",52,3.3,2.5,4.0,0.0,non-vegan,,,,,,,,,,,,,
"Kelapa setengah tua,
daging, segar",180,4.0,15.0,10.0,2.4,vegan,,,,,,,,,,,,,
"Kelapa tua, daging,
segar",359,3.4,34.7,14.0,4.7,vegan,,,,,,,,,,,,,
Lemak babi (lard),902,0.0,100.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
Lemak babi (bacon),626,9.1,65.0,1.1,0.0,non-vegan,,,,,,,,,,,,,
Lemak ikan,372,12.0,29.4,14.4,0.0,non-vegan,,,,,,,,,,,,,
Lemak kerbau (lemak sapi),818,1.5,90.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
"Minyak hiu, hati",902,0.0,100.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
Minyak ikan,902,0.0,100.0,0.0,0.0,non-vegan,,,,,,,,,,,,,
Minyak kacang tanah,902,0.0,100.0,0.0,0.0,vegan,,,,,,,,,,,,,
Minyak kedelai,883,0.0,99.9,0.0,0.0,vegan,,,,,,,,,,,,,
Minyak kelapa,870,1.0,98.0,0.0,0.0,vegan,,,,,,,,,,,,,
Minyak kelapa sawit,884,0.0,100.0,0.0,0.0,vegan,,,,,,,,,,,,,
Minyak wijen,881,0.2,99.7,0.0,0.0,vegan,,,,,,,,,,,,,
Minyak zaitun,884,0.0,100.0,0.0,0.0,vegan,,,,,,,,,,,,,
Margarin,720,0.6,81.0,0.4,0.0,vegan,,,,,,,,,,,,,
Mentega,742,0.5,81.6,1.4,0.0,non-vegan,,,,,,,,,,,,,
Santan (dengan air),122,2.0,10.0,7.6,1.4,vegan,,,,,,,,,,,,,
Santan murni,324,4.2,34.3,5.6,0.0,vegan,,,,,,,,,,,,,
"Coklat manis, batang",527,2.0,29.8,62.7,6.5,vegan,,,,,,,,,,,,,
"Coklat pahit,batang",615,5.5,42.6,29.2,10.8,vegan,,,,,,,,,,,,,
"Coklat susu, batang",565,9.0,35.0,53.6,3.4,vegan,,,,,,,,,,,,,
Coklat bubuk,311,8.0,4.0,48.9,32.6,vegan,,,,,,,,,,,,,
Gula aren,368,0.0,0.0,92.0,0.0,vegan,,,,,,,,,,,,,
Gula kelapa,386,3.0,10.0,76.0,0.0,vegan,,,,,,,,,,,,,
Gula putih,394,0.0,0.0,94.0,0.0,vegan,,,,,,,,,,,,,
"Jam, selai",239,0.5,0.6,64.5,1.0,vegan,,,,,,,,,,,,,
Kopi bubuk instant,129,12.3,0.5,35.0,0.0,vegan,,,,,,,,,,,,,
Madu,294,0.3,0.0,79.5,0.2,vegan,,,,,,,,,,,,,
Markisa squash,217,2.5,1.0,49.6,,vegan,,,,,,,,,,,,,
"Markisa squash, BD",104,1.2,0.5,23.7,,vegan,,,,,,,,,,,,,
Melase,276,,0.1,71.0,0.0,vegan,,,,,,,,,,,,,
Sirup,213,0.0,0.0,55.0,0.0,vegan,,,,,,,,,,,,,
Sirup pirous,228,0.2,0.4,55.9,0.0,vegan,,,,,,,,,,,,,
Teh hijau daun kering,300,28.3,4.8,53.6,9.6,vegan,,,,,,,,,,,,,
Teh hitam daun kering,293,24.5,2.8,58.8,8.7,vegan,,,,,,,,,,,,,
"Teh melati daun
kering",299,24.1,3.5,59.0,9.7,vegan,,,,,,,,,,,,,
"Asam arang coklat,
segar",130,0.5,1.1,30.9,1.5,non-vegan,,,,,,,,,,,,,
"Asam arang merah,
segar",99,0.8,1.6,20.3,2.8,non-vegan,,,,,,,,,,,,,
"Asan kandis, kering",261,0.9,1.6,63.3,5.0,non-vegan,,,,,,,,,,,,,
"Asam kandis, segar",75,0.2,1.1,16.1,3.4,non-vegan,,,,,,,,,,,,,
"Asam masak pohon,
segar",267,2.8,0.6,62.5,1.2,non-vegan,,,,,,,,,,,,,
"Asam payak, segar",135,0.8,0.4,32.1,10.0,non-vegan,,,,,,,,,,,,,
"Bawang merah, segar",46,1.5,0.3,9.2,1.7,vegan,,,,,,,,,,,,,
"Bawang putih, segar",112,4.5,0.2,23.1,0.6,vegan,,,,,,,,,,,,,
"Boros kunci, segar",40,1.0,0.8,7.2,1.0,vegan,,,,,,,,,,,,,
"Boros laja (lengkuas),
segar",26,1.0,0.3,4.7,1.1,vegan,,,,,,,,,,,,,
"Cabai gembor merah,
segar",38,1.6,0.8,6.3,1.6,vegan,,,,,,,,,,,,,
"Cabai hijau, segar",26,0.7,0.3,5.2,2.6,vegan,,,,,,,,,,,,,
"Cabai merah, kering",367,15.9,6.2,61.8,26.9,vegan,,,,,,,,,,,,,
"Cabai merah, segar",36,1.0,0.3,7.3,1.4,vegan,,,,,,,,,,,,,
"Cabai rawit, segar",120,4.7,2.4,19.9,15.2,vegan,,,,,,,,,,,,,
"Cengkeh, kering",330,5.2,8.9,57.4,10.0,vegan,,,,,,,,,,,,,
"Daun salam,  bubuk",301,14.2,10.9,49.0,9.4,vegan,,,,,,,,,,,,,
"Jahe, segar",51,1.5,1.0,10.1,12.0,vegan,,,,,,,,,,,,,
Kemiri,675,19.0,63.0,8.0,3.0,vegan,,,,,,,,,,,,,
"Ketumbar, kering",418,14.1,16.1,54.2,12.3,vegan,,,,,,,,,,,,,
Kluwek,310,10.0,24.0,13.5,,vegan,,,,,,,,,,,,,
"Kunyit, segar",69,2.0,2.7,9.1,0.6,vegan,,,,,,,,,,,,,
"Merica, kering",365,11.5,6.8,64.4,1.0,vegan,,,,,,,,,,,,,
"Pala, biji, kering",518,7.5,36.4,40.1,3.5,vegan,,,,,,,,,,,,,
Balichong,152,13.2,0.8,22.9,1.5,non-vegan,,,,,,,,,,,,,
Bekasam,116,11.9,4.9,6.1,3.5,non-vegan,,,,,,,,,,,,,
Bekasang,78,11.4,2.0,3.6,0.4,non-vegan,,,,,,,,,,,,,
Cuka,21,0.1,0.1,5.0,0.0,vegan,,,,,,,,,,,,,
Kecap,71,5.7,1.3,9.0,0.0,vegan,,,,,,,,,,,,,
Petis ikan,165,20.0,0.2,20.8,,non-vegan,,,,,,,,,,,,,
Petis udang kering,345,23.8,1.4,59.3,0.0,non-vegan,,,,,,,,,,,,,
Petis udang pasta,220,15.0,0.9,38.0,2.3,non-vegan,,,,,,,,,,,,,
Saos tomat,110,2.0,0.4,24.5,0.9,vegan,,,,,,,,,,,,,
Tempoya,110,1.7,1.3,21.9,2.6,non-vegan,,,,,,,,,,,,,
Terasi,155,22.3,2.9,9.9,2.7,non-vegan,,,,,,,,,,,,,
Terasi dobo,191,33.1,3.6,6.6,1.6,non-vegan,,,,,,,,,,,,,
Terasi merah,174,30.0,3.5,5.6,2.2,non-vegan,,,,,,,,,,,,,
"Kelapa muda, air, segar",17,0.2,0.1,3.8,0.0,vegan,,,,,,,,,,,,,
